ANONYMIZED BUSINESS,QUANTITY,Total Sales,count,Cluster,Classified
Business-0000,8,10445,8,2,High Value
Business-0005,1,2645,1,2,High Value
Business-0029,26,77340,6,2,High Value
Business-003d,98,221761,31,2,High Value
Business-0072,127,225056,101,2,High Value
Business-0078,333,1108125,266,2,High Value
Business-007a,2,4010,2,2,High Value
Business-0086,6,11200,6,2,High Value
Business-00a2,9,20685,7,2,High Value
Business-00a7,5,9425,1,2,High Value
Business-00ac,10,22210,10,2,High Value
Business-00b7,2,2900,2,2,High Value
Business-00e7,29,85643,7,2,High Value
Business-00f8,16,47767,10,2,High Value
Business-00fa,180,334250,11,2,High Value
Business-0105,41,88285,27,2,High Value
Business-0109,279,1006802,63,2,High Value
Business-010c,22,49300,13,2,High Value
Business-0113,1,1890,1,2,High Value
Business-013f,136,292275,66,2,High Value
Business-0143,6,15050,2,2,High Value
Business-0145,4,360,1,2,High Value
Business-0162,8,11120,6,2,High Value
Business-016c,498,930924,437,0,Low Value
Business-0172,2,4390,2,2,High Value
Business-0183,10,19000,2,2,High Value
Business-0192,8,4210,6,2,High Value
Business-0197,10,21985,9,2,High Value
Business-019e,4,10690,3,2,High Value
Business-01a0,5,8005,5,2,High Value
Business-01d3,7,26439,6,2,High Value
Business-01de,179,438636,147,2,High Value
Business-01e4,11,17010,9,2,High Value
Business-0204,170,308872,166,2,High Value
Business-0215,166,200312,51,2,High Value
Business-0225,10,21850,1,2,High Value
Business-0240,17,25345,13,2,High Value
Business-0259,244,483770,48,2,High Value
Business-0264,24,48250,9,2,High Value
Business-0279,1,1930,1,2,High Value
Business-0285,5,16000,4,2,High Value
Business-0287,133,373386,113,2,High Value
Business-0292,1,2450,1,2,High Value
Business-029c,5,18180,3,2,High Value
Business-02a5,7,15470,6,2,High Value
Business-02ac,1,2040,1,2,High Value
Business-02b8,16,40460,14,2,High Value
Business-02c1,1,860,1,2,High Value
Business-02e6,1,1540,1,2,High Value
Business-02f9,5,32750,3,2,High Value
